item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
1,Honestmarys,Choose a Bowl,Smoky Poblano (GF),$9.75,"Basmati Rice, Wild Arugula, Sweet Corn, Pickled Onions, Texas Goat Cheese, Avocado, Pumpkin Seeds, Lime Wedge, Creamy Poblano Sauce",2023-09-29,2023-09-29,none
2,Honestmarys,Choose a Bowl,"Aloha Poke (GF, DF)",$12.75,"Hand-line Caught Poke, Basmati Rice, Avocado, Asian Slaw, Edamame, Pickled Onions, Fresh Organic Jalapeños, Black Sesame Seeds, Sesame Vinaigrette, Lime Wedge",2023-09-29,2023-09-29,none
3,Honestmarys,Choose a Bowl,Golden Grain (GF),$9.50,"Tricolored Quinoa, Wild Arugula, Organic Apples, Roasted Beets, Crispy Chickpeas, Texas Goat Cheese, Toasted Texas Pecans, Apple Cider Vinaigrette",2023-09-29,2023-09-29,none
4,Honestmarys,Choose a Bowl,"Sedona Lime (V, GF, DF)",$9.00,"Basmati Rice, Organic Spinach, Black Beans, Roasted Sweet Potatoes, Toasted Pumpkin Seeds, Cashew Lime Crema Sauce, Lime Wedge",2023-09-29,2023-09-29,none
5,Honestmarys,Choose a Bowl,Mediterranean Harissa (GF),$10.25,"Black Forbidden Rice, Wild Arugula, Roasted Beets, Sweet Corn, Cucumber Salad, Crumbled Feta, Texas Harissa, Lemon Herb Yogurt Sauce",2023-09-29,2023-09-29,none
6,Honestmarys,Choose a Bowl,Curry Cauliflower Bowl (Seasonal),$9.75,"Basmati Rice, Wild Arugula, French Green Lentils, Curry Roasted Cauliflower, Pickled Onions, Fresh Herb Blend, Crispy Chickpeas, Spicy Peanut Sauce",2023-09-29,2023-09-29,none
7,Honestmarys,1. Select a Bowl,Grilled Naturally Raised Chicken Bowl,$12.75,CHOOSE ITEMS BELOW // 1 Base + 2 Market Sides + 2 Toppings + 1 Sauce,2023-09-29,2023-09-29,none
8,Honestmarys,1. Select a Bowl,Grilled Naturally Raised Steak Bowl,$14.00,CHOOSE ITEMS BELOW // 1 Base + 2 Market Sides + 2 Toppings + 1 Sauce,2023-09-29,2023-09-29,none
9,Honestmarys,1. Select a Bowl,Hand-line Caught Poke Bowl,$14.50,CHOOSE ITEMS BELOW // 1 Base + 2 Market Sides + 2 Toppings + 1 Sauce,2023-09-29,2023-09-29,none
10,Honestmarys,1. Select a Bowl,Baked Organic Non-GMO Tofu Bowl,$12.50,CHOOSE ITEMS BELOW // 1 Base + 2 Market Sides + 2 Toppings + 1 Sauce,2023-09-29,2023-09-29,none
11,Honestmarys,1. Select a Bowl,Farmers' Market (extra Market Side),$10.75,CHOOSE ITEMS BELOW // 1 Base + 3 Market Sides + 2 Toppings + 1 Sauce,2023-09-29,2023-09-29,none
12,Honestmarys,(Each Meal Serves 4),Family Meal,$40.00,Choose your Protein + 1 Base + 2 Market Sides + 3 Toppings + 2 Sauces,2023-09-29,2023-09-29,none
13,Honestmarys,(Each Meal Serves 4),4 Almond Butter Cookies,$12.00,"Sweetened with maple syrup and topped with maldon sea salt (V, GF, DF)",2023-09-29,2023-09-29,none
